"REF_DATE","GEO","DGUID","Value and volume","Type of beverage","Type of product","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1995","Canada","","Value in dollars","Liqueurs","Total products","Dollars","81","thousands","3","v20856616","1.1.6.1","308884","","","","0"
"1996","Canada","","Value in dollars","Liqueurs","Total products","Dollars","81","thousands","3","v20856616","1.1.6.1","316706","","","","0"
"1997","Canada","","Value in dollars","Liqueurs","Total products","Dollars","81","thousands","3","v20856616","1.1.6.1","334528","","","","0"
"1998","Canada","","Value in dollars","Liqueurs","Total products","Dollars","81","thousands","3","v20856616","1.1.6.1","345045","","","","0"
"1999","Canada","","Value in dollars","Liqueurs","Total products","Dollars","81","thousands","3","v20856616","1.1.6.1","364185","","","","0"
"2000","Canada","","Value in dollars","Liqueurs","Total products","Dollars","81","thousands","3","v20856616","1.1.6.1","396647","","","","0"
"2001","Canada","","Value in dollars","Liqueurs","Total products","Dollars","81","thousands","3","v20856616","1.1.6.1","428707","","","","0"
"2002","Canada","","Value in dollars","Liqueurs","Total products","Dollars","81","thousands","3","v20856616","1.1.6.1","447056","","","","0"
"2003","Canada","","Value in dollars","Liqueurs","Total products","Dollars","81","thousands","3","v20856616","1.1.6.1","476847","","","","0"
"2004","Canada","","Value in dollars","Liqueurs","Total products","Dollars","81","thousands","3","v20856616","1.1.6.1","478872","","","","0"
"2005","Canada","","Value in dollars","Liqueurs","Total products","Dollars","81","thousands","3","v20856616","1.1.6.1","483314","","","","0"
"2006","Canada","","Value in dollars","Liqueurs","Total products","Dollars","81","thousands","3","v20856616","1.1.6.1","524983","","","","0"
"2007","Canada","","Value in dollars","Liqueurs","Total products","Dollars","81","thousands","3","v20856616","1.1.6.1","587126","","","","0"
"2008","Canada","","Value in dollars","Liqueurs","Total products","Dollars","81","thousands","3","v20856616","1.1.6.1","597261","","","","0"
"2009","Canada","","Value in dollars","Liqueurs","Total products","Dollars","81","thousands","3","v20856616","1.1.6.1","589847","","","","0"
"2010","Canada","","Value in dollars","Liqueurs","Total products","Dollars","81","thousands","3","v20856616","1.1.6.1","565896","","","","0"
"2011","Canada","","Value in dollars","Liqueurs","Total products","Dollars","81","thousands","3","v20856616","1.1.6.1","570165","","","","0"
"2012","Canada","","Value in dollars","Liqueurs","Total products","Dollars","81","thousands","3","v20856616","1.1.6.1","581353","","","","0"
"2013","Canada","","Value in dollars","Liqueurs","Total products","Dollars","81","thousands","3","v20856616","1.1.6.1","636670","","","","0"
"1993","Canada","","Value in dollars","Liqueurs","Canadian products","Dollars","81","thousands","3","v20856582","1.1.6.2","96779","","","","0"
"1994","Canada","","Value in dollars","Liqueurs","Canadian products","Dollars","81","thousands","3","v20856582","1.1.6.2","90064","","","","0"
