"REF_DATE","GEO","DGUID","Age","Sex","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2007/2008","Nunavut","2016A000262","Total, age","Total, sex","Number","223","units","0","v65927028","14.1.1","210","","","","0"
"2008/2009","Nunavut","2016A000262","Total, age","Total, sex","Number","223","units","0","v65927028","14.1.1","246","","","","0"
"2009/2010","Nunavut","2016A000262","Total, age","Total, sex","Number","223","units","0","v65927028","14.1.1","237","","","","0"
"2010/2011","Nunavut","2016A000262","Total, age","Total, sex","Number","223","units","0","v65927028","14.1.1","228","","","","0"
"2011/2012","Nunavut","2016A000262","Total, age","Total, sex","Number","223","units","0","v65927028","14.1.1","240","","","","0"
"2012/2013","Nunavut","2016A000262","Total, age","Total, sex","Number","223","units","0","v65927028","14.1.1","216","","","","0"
"2013/2014","Nunavut","2016A000262","Total, age","Total, sex","Number","223","units","0","v65927028","14.1.1","207","","","","0"
"2014/2015","Nunavut","2016A000262","Total, age","Total, sex","Number","223","units","0","v65927028","14.1.1","210","","","","0"
"2015/2016","Nunavut","2016A000262","Total, age","Total, sex","Number","223","units","0","v65927028","14.1.1","252","","","","0"
"2016/2017","Nunavut","2016A000262","Total, age","Total, sex","Number","223","units","0","v65927028","14.1.1","294","","","","0"
"2017/2018","Nunavut","2016A000262","Total, age","Total, sex","Number","223","units","0","v65927028","14.1.1","255","","","","0"
"2018/2019","Nunavut","2016A000262","Total, age","Total, sex","Number","223","units","0","v65927028","14.1.1","261","","","","0"


