"REF_DATE","GEO","DGUID","Age","Sex","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2011/2012","Prince Edward Island","2016A000211","Total, age","Total, sex","Number","223","units","0","v65926764","3.1.1","1644","","","","0"
"2012/2013","Prince Edward Island","2016A000211","Total, age","Total, sex","Number","223","units","0","v65926764","3.1.1","1689","","","","0"
"2013/2014","Prince Edward Island","2016A000211","Total, age","Total, sex","Number","223","units","0","v65926764","3.1.1","1641","","","","0"
"2014/2015","Prince Edward Island","2016A000211","Total, age","Total, sex","Number","223","units","0","v65926764","3.1.1","1578","","","","0"
"2015/2016","Prince Edward Island","2016A000211","Total, age","Total, sex","Number","223","units","0","v65926764","3.1.1","1485","","","","0"
"2016/2017","Prince Edward Island","2016A000211","Total, age","Total, sex","Number","223","units","0","v65926764","3.1.1","1389","","","","0"
"2017/2018","Prince Edward Island","2016A000211","Total, age","Total, sex","Number","223","units","0","v65926764","3.1.1","1482","","","","0"
"2018/2019","Prince Edward Island","2016A000211","Total, age","Total, sex","Number","223","units","0","v65926764","3.1.1","1413","","","","0"
"2002/2003","Nova Scotia","2016A000212","Total, age","Total, sex","Number","223","units","0","v65926788","4.1.1","10350","","","","0"
"2003/2004","Nova Scotia","2016A000212","Total, age","Total, sex","Number","223","units","0","v65926788","4.1.1","10443","","","","0"
"2004/2005","Nova Scotia","2016A000212","Total, age","Total, sex","Number","223","units","0","v65926788","4.1.1","10359","","","","0"
"2005/2006","Nova Scotia","2016A000212","Total, age","Total, sex","Number","223","units","0","v65926788","4.1.1","10242","","","","0"
"2006/2007","Nova Scotia","2016A000212","Total, age","Total, sex","Number","223","units","0","v65926788","4.1.1","10371","","","","0"
"2007/2008","Nova Scotia","2016A000212","Total, age","Total, sex","Number","223","units","0","v65926788","4.1.1","10503","","","","0"
"2008/2009","Nova Scotia","2016A000212","Total, age","Total, sex","Number","223","units","0","v65926788","4.1.1","10239","","","","0"
"2009/2010","Nova Scotia","2016A000212","Total, age","Total, sex","Number","223","units","0","v65926788","4.1.1","10158","","","","0"
"2010/2011","Nova Scotia","2016A000212","Total, age","Total, sex","Number","223","units","0","v65926788","4.1.1","10104","","","","0"
"2011/2012","Nova Scotia","2016A000212","Total, age","Total, sex","Number","223","units","0","v65926788","4.1.1","9789","","","","0"
"2012/2013","Nova Scotia","2016A000212","Total, age","Total, sex","Number","223","units","0","v65926788","4.1.1","9552","","","","0"
"2013/2014","Nova Scotia","2016A000212","Total, age","Total, sex","Number","223","units","0","v65926788","4.1.1","9447","","","","0"
"2014/2015","Nova Scotia","2016A000212","Total, age","Total, sex","Number","223","units","0","v65926788","4.1.1","9222","","","","0"
"2015/2016","Nova Scotia","2016A000212","Total, age","Total, sex","Number","223","units","0","v65926788","4.1.1","8856","","","","0"
"2016/2017","Nova Scotia","2016A000212","Total, age","Total, sex","Number","223","units","0","v65926788","4.1.1","8784","","","","0"
"2017/2018","Nova Scotia","2016A000212","Total, age","Total, sex","Number","223","units","0","v65926788","4.1.1","8847","","","","0"
"2018/2019","Nova Scotia","2016A000212","Total, age","Total, sex","Number","223","units","0","v65926788","4.1.1","8742","","","","0"
"2002/2003","New Brunswick","2016A000213","Total, age","Total, sex","Number","223","units","0","v65926812","5.1.1","8289","","","","0"
"2003/2004","New Brunswick","2016A000213","Total, age","Total, sex","Number","223","units","0","v65926812","5.1.1","7995","","","","0"
"2004/2005","New Brunswick","2016A000213","Total, age","Total, sex","Number","223","units","0","v65926812","5.1.1","8199","","","","0"
"2005/2006","New Brunswick","2016A000213","Total, age","Total, sex","Number","223","units","0","v65926812","5.1.1","8298","","","","0"
"2006/2007","New Brunswick","2016A000213","Total, age","Total, sex","Number","223","units","0","v65926812","5.1.1","7977","","","","0"
"2007/2008","New Brunswick","2016A000213","Total, age","Total, sex","Number","223","units","0","v65926812","5.1.1","8031","","","","0"
"2008/2009","New Brunswick","2016A000213","Total, age","Total, sex","Number","223","units","0","v65926812","5.1.1","8094","","","","0"
"2009/2010","New Brunswick","2016A000213","Total, age","Total, sex","Number","223","units","0","v65926812","5.1.1","8250","","","","0"
"2010/2011","New Brunswick","2016A000213","Total, age","Total, sex","Number","223","units","0","v65926812","5.1.1","7851","","","","0"
"2011/2012","New Brunswick","2016A000213","Total, age","Total, sex","Number","223","units","0","v65926812","5.1.1","7797","","","","0"
"2012/2013","New Brunswick","2016A000213","Total, age","Total, sex","Number","223","units","0","v65926812","5.1.1","7719","","","","0"
"2013/2014","New Brunswick","2016A000213","Total, age","Total, sex","Number","223","units","0","v65926812","5.1.1","7416","","","","0"
"2014/2015","New Brunswick","2016A000213","Total, age","Total, sex","Number","223","units","0","v65926812","5.1.1","7176","","","","0"
"2015/2016","New Brunswick","2016A000213","Total, age","Total, sex","Number","223","units","0","v65926812","5.1.1","7269","","","","0"
"2016/2017","New Brunswick","2016A000213","Total, age","Total, sex","Number","223","units","0","v65926812","5.1.1","7059","","","","0"
"2017/2018","New Brunswick","2016A000213","Total, age","Total, sex","Number","223","units","0","v65926812","5.1.1","7011","","","","0"
"2018/2019","New Brunswick","2016A000213","Total, age","Total, sex","Number","223","units","0","v65926812","5.1.1","6813","","","","0"
"2002/2003","Quebec","2016A000224","Total, age","Total, sex","Number","223","units","0","v65926836","6.1.1","44247","","","","0"
"2003/2004","Quebec","2016A000224","Total, age","Total, sex","Number","223","units","0","v65926836","6.1.1","44565","","","","0"
"2004/2005","Quebec","2016A000224","Total, age","Total, sex","Number","223","units","0","v65926836","6.1.1","44919","","","","0"
"2005/2006","Quebec","2016A000224","Total, age","Total, sex","Number","223","units","0","v65926836","6.1.1","46527","","","","0"
"2006/2007","Quebec","2016A000224","Total, age","Total, sex","Number","223","units","0","v65926836","6.1.1","46914","","","","0"
"2007/2008","Quebec","2016A000224","Total, age","Total, sex","Number","223","units","0","v65926836","6.1.1","50421","","","","0"
"2008/2009","Quebec","2016A000224","Total, age","Total, sex","Number","223","units","0","v65926836","6.1.1","50964","","","","0"
"2009/2010","Quebec","2016A000224","Total, age","Total, sex","Number","223","units","0","v65926836","6.1.1","50088","","","","0"
"2010/2011","Quebec","2016A000224","Total, age","Total, sex","Number","223","units","0","v65926836","6.1.1","49590","","","","0"
"2011/2012","Quebec","2016A000224","Total, age","Total, sex","Number","223","units","0","v65926836","6.1.1","48240","","","","0"
"2012/2013","Quebec","2016A000224","Total, age","Total, sex","Number","223","units","0","v65926836","6.1.1","47013","","","","0"
"2013/2014","Quebec","2016A000224","Total, age","Total, sex","Number","223","units","0","v65926836","6.1.1","46905","","","","0"
"2014/2015","Quebec","2016A000224","Total, age","Total, sex","Number","223","units","0","v65926836","6.1.1","45738","","","","0"
"2015/2016","Quebec","2016A000224","Total, age","Total, sex","Number","223","units","0","v65926836","6.1.1","45528","","","","0"
"2016/2017","Quebec","2016A000224","Total, age","Total, sex","Number","223","units","0","v65926836","6.1.1","45387","","","","0"
"2017/2018","Quebec","2016A000224","Total, age","Total, sex","Number","223","units","0","v65926836","6.1.1","46239","","","","0"
"2018/2019","Quebec","2016A000224","Total, age","Total, sex","Number","223","units","0","v65926836","6.1.1","46110","","","","0"
"2002/2003","Ontario","2016A000235","Total, age","Total, sex","Number","223","units","0","v65926860","7.1.1","143187","","","","0"
"2003/2004","Ontario","2016A000235","Total, age","Total, sex","Number","223","units","0","v65926860","7.1.1","123237","","","","0"
"2004/2005","Ontario","2016A000235","Total, age","Total, sex","Number","223","units","0","v65926860","7.1.1","124902","","","","0"
"2005/2006","Ontario","2016A000235","Total, age","Total, sex","Number","223","units","0","v65926860","7.1.1","118101","","","","0"
"2006/2007","Ontario","2016A000235","Total, age","Total, sex","Number","223","units","0","v65926860","7.1.1","126048","","","","0"
"2007/2008","Ontario","2016A000235","Total, age","Total, sex","Number","223","units","0","v65926860","7.1.1","131283","","","","0"
"2008/2009","Ontario","2016A000235","Total, age","Total, sex","Number","223","units","0","v65926860","7.1.1","141570","","","","0"
