"REF_DATE","GEO","DGUID","Type of sales","Type of beverage","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1989","Quebec","","Total per capita sales","Beer","Litres","203","units ","0","v28463291","6.2.4","5.0","","","","1"
"1989","Ontario","","Total sales","Total alcoholic beverages","Litres","203","thousands","3","v28463292","7.1.1","73140","","","","0"
"1989","Ontario","","Total sales","Spirits","Litres","203","thousands","3","v28463293","7.1.2","22705","","","","0"
"1989","Ontario","","Total sales","Wine","Litres","203","thousands","3","v28463294","7.1.3","8607","","","","0"
"1989","Ontario","","Total sales","Beer","Litres","203","thousands","3","v28463295","7.1.4","41828","","","","0"
"1989","Ontario","","Total per capita sales","Total alcoholic beverages","Litres","203","units ","0","v28463296","7.2.1","9.1","","","","1"
"1989","Ontario","","Total per capita sales","Spirits","Litres","203","units ","0","v28463297","7.2.2","2.8","","","","1"
"1989","Ontario","","Total per capita sales","Wine","Litres","203","units ","0","v28463298","7.2.3","1.1","","","","1"
"1989","Ontario","","Total per capita sales","Beer","Litres","203","units ","0","v28463299","7.2.4","5.2","","","","1"
"1989","Manitoba","","Total sales","Total alcoholic beverages","Litres","203","thousands","3","v28463300","8.1.1","7256","","","","0"
"1989","Manitoba","","Total sales","Spirits","Litres","203","thousands","3","v28463301","8.1.2","2664","","","","0"
"1989","Manitoba","","Total sales","Wine","Litres","203","thousands","3","v28463302","8.1.3","612","","","","0"
"1989","Manitoba","","Total sales","Beer","Litres","203","thousands","3","v28463303","8.1.4","3980","","","","0"
"1989","Manitoba","","Total per capita sales","Total alcoholic beverages","Litres","203","units ","0","v28463304","8.2.1","8.4","","","","1"
"1989","Manitoba","","Total per capita sales","Spirits","Litres","203","units ","0","v28463305","8.2.2","3.1","","","","1"
"1989","Manitoba","","Total per capita sales","Wine","Litres","203","units ","0","v28463306","8.2.3","0.7","","","","1"
"1989","Manitoba","","Total per capita sales","Beer","Litres","203","units ","0","v28463307","8.2.4","4.6","","","","1"
"1989","Saskatchewan","","Total sales","Total alcoholic beverages","Litres","203","thousands","3","v28463308","9.1.1","6217","","","","0"
"1989","Saskatchewan","","Total sales","Spirits","Litres","203","thousands","3","v28463309","9.1.2","2582","","","","0"
